,title,year,rating,dubious,imdbid
0,Rim of the World,2019,0,0,8179388
1,We Are Little Zombies,2019,2,0,9358120
2,"Kid Who Would Be King, The",2019,1,0,6811018
3,Polar,2019,2,0,4139588
4,Close,2019,3,0,5316540
5,Serenity,2019,1,0,6476140
6,Soni,2019,3,0,6078866
7,Us,2019,3,0,6857112
8,Cold Pursuit,2019,1,0,5719748
9,"Wandering Earth (Liu Lang Di Qiu), The",2019,3,1,7605074
10,Alita: Battle Angel,2019,3,0,437086
11,"Lego Movie 2: The Second Part, The",2019,3,0,3513498
12,American Woman,2019,3,0,9109492
13,Le chant du loup,2019,0,0,7458762
14,Isn&#39;t It Romantic,2019,3,0,2452244
15,Captain Marvel,2019,3,0,4154664
16,Fighting with My Family,2019,3,0,6513120
17,Happy Death Day 2U,2019,3,0,8155288
18,Triple Frontier,2019,1,0,1488606
19,Shazam!,2019,3,0,448115
20,Gully Boy,2019,1,1,2395469
21,My Little Pony: Equestria Girls: Spring Breakdown,2019,3,0,8734872
22,Someone Great,2019,3,0,8075260
23,Zoombies 2,2019,3,0,9670282
24,Avengers: Endgame,2019,3,0,4154796
25,"Curse of La Llorona, The",2019,3,0,4913966
26,Guava Island,2019,2,0,8858104
27,"Silence, The",2019,3,0,7315484
28,Miss Bala,2019,3,0,5941692
29,Pokemon Detective Pikachu,2019,3,0,5884052
30,"Hustle, The",2019,3,1,1298644
31,Unplanned,2019,3,0,9024106
32,Wine Country,2019,3,0,8169446
33,Booksmart,2019,3,0,1489887
34,Aladdin,2019,3,0,6139732
35,Nancy Drew and the Hidden Staircase,2019,3,0,8323104
36,John Wick: Chapter 3 - Parabellum,2019,1,0,6146586
37,Ma,2019,3,0,7958736
38,Always Be My Maybe,2019,3,0,7374948
39,Dark Phoenix,2019,3,0,6565702
40,"Perfect Date, The",2019,2,0,8201170
41,Late Night,2019,3,0,6107548
42,Brightburn,2019,2,0,7752126
43,Godzilla: King of the Monsters,2019,3,0,3741700
44,I Am Mother,2019,3,0,6292852
45,Gisaengchung,2019,3,1,6751668
46,Toy Story 4,2019,3,0,1979376
47,Annabelle Comes Home,2019,3,0,8350360
48,Effigy &#150;&nbsp;Poison and the City,2019,3,0,9075008
49,Article 15,2019,1,0,10324144
50,Pause,2019,2,0,6590856
51,Spider-Man: Far from Home,2019,1,0,6320628
52,Midsommar,2019,3,0,8772262
53,Anna,2019,3,0,7456310
54,"Lion King, The",2019,3,0,6105098
55,Crawl,2019,3,1,8364368
56,Once Upon a Time ... In Hollywood,2019,3,0,7131622
57,Sword of Trust,2019,3,0,8484012
58,"Farewell, The",2019,3,0,8637428
59,Fast &amp; Furious Presents: Hobbs &amp; Shaw,2019,2,1,6806448
60,Animals,2019,3,0,4426738
61,Five Feet Apart,2019,3,0,6472976
62,Kim Possible,2019,3,0,7979492
63,"Art of Racing in the Rain, The",2019,2,0,1478839
64,Descendants 3,2019,3,0,8022928
65,Pet Sematary,2019,3,1,837563
66,Tolkien,2019,2,0,3361792
67,See You Yesterday,2019,3,0,8743064
68,Turma da Monica: Lacos,2019,2,0,8169552
69,"Where&#39;d You Go, Bernadette",2019,3,0,2365580
70,Terminator: Dark Fate,2019,3,0,6450804
71,Brittany Runs A Marathon,2019,3,0,7671064
72,Dora and the Lost City of Gold,2019,3,0,7547410
73,Jawline,2019,0,0,8499102
74,Steven Universe: The Movie,2019,3,0,10515852
75,Pentagram,2019,1,0,7711764
76,Tall Girl,2019,3,0,9252508
77,Ad Astra,2019,1,0,2935510
78,Bacurau,2019,3,1,2762506
79,Ready or Not,2019,3,0,7798634
80,Lucy in the Sky,2019,3,0,4682804
81,Joker,2019,3,1,7286456
82,Canceled,2019,3,0,9239816
83,Downton Abbey,2019,3,0,6398184
84,Scary Stories to Tell in the Dark,2019,3,0,3387520
85,Gemini Man,2019,1,0,1025100
86,Ford v Ferrari,2019,0,0,1950186
87,Hustlers,2019,3,0,5503686
88,Maleficent: Mistress of Evil,2019,3,0,4777008
89,"Laundromat, The",2019,3,0,5865326
90,"King, The",2019,1,0,7984766
91,Portrait of a Lady on Fire,2019,3,0,8613070
92,"Gentlemen, The",2019,3,0,8367814
93,What Men Want,2019,1,0,7634968
94,After,2019,3,0,4126476
95,Abominable,2019,3,0,6324278
96,Harriet,2019,3,0,4648786
97,Marriage Story,2019,2,0,7653254
98,"Lighthouse, The",2019,0,0,7984734
99,It Chapter 2,2019,3,0,7349950
100,Last Christmas,2019,3,0,8623904
101,Luce,2019,3,0,7616148
102,Klaus,2019,1,0,4729430
103,"Knight Before Christmas, The",2019,3,0,10060094
104,Jojo Rabbit,2019,3,0,2584384
105,Midway,2019,1,0,6924650
106,Charlie&#39;s Angels,2019,3,0,5033998
107,Knives Out,2019,3,0,8946378
108,Motherless Brooklyn,2019,3,0,385887
109,A Beautiful Day in the Neighborhood,2019,2,0,3224458
110,Clementine,2019,3,0,7311036
111,Queen &amp; Slim,2019,2,1,8722346
112,Doctor Sleep,2019,3,0,5606664
113,"Irishman, The",2019,1,0,1302006
114,Frozen 2,2019,3,0,4520988
115,Unbelievable,2019,3,0,7909970
116,Les Miserables,2019,0,0,10199590
117,Zombieland: Double Tap,2019,3,0,1560220
118,Tekst,2019,1,1,10767426
119,Satanic Panic,2019,3,0,8510350
120,Star Wars: Episode IX - The Rise of Skywalker,2019,3,0,2527338
121,Yesterday,2019,1,0,8079248
122,Her Smell,2019,3,0,7942742
123,Cats,2019,3,0,5697572
124,Rambo: Last Blood,2019,2,1,1206885
125,Good Boys,2019,3,0,7343762
126,A Dog&#39;s Journey,2019,3,0,8385474
127,Monos,2019,3,0,6062774
128,Little Women,2019,3,0,3281548
129,"Aeronauts, The",2019,3,0,6141246
130,Uncut Gems,2019,2,1,5727208
131,Sorry We Missed You,2019,3,0,8359816
132,"Goldfinch, The",2019,1,0,3864056
133,"Two Popes, The",2019,1,0,8404614
134,1917,2019,0,0,8579674
135,Just Mercy,2019,2,0,4916630
136,Little Joe,2019,3,0,9204204
137,Anya,2019,3,0,7488288
138,For Sama,2019,3,0,9617456
139,Troop Zero,2019,3,0,2404465
140,Cosmos,2019,0,0,4477292
141,Jeanne,2019,3,0,8669356
142,"Shiny Shrimps, The",2019,0,0,6918220
143,Une fille facile,2019,3,0,9632590
144,In the Tall Grass,2019,1,0,4687108
145,El Camino: A Breaking Bad Movie,2019,1,0,9243946
146,Weathering with You,2019,3,0,9426210
147,Jumanji: The Next Level,2019,1,0,7975244
148,O Filme do Bruno Aleixo,2019,0,0,10244726
149,Paddleton,2019,0,0,8041276
150,Seberg,2019,3,0,1780967
151,Straight Up,2019,3,0,8855960
152,Can You Keep A Secret?,2019,3,0,8707922
153,i lost my body,2019,0,0,9806192
154,"Platform, The",2019,1,0,8228288
155,Iron Sky: The Coming Race,2019,3,0,3038708
156,"Specials, The",2019,1,0,8655470
157,Color Out of Space,2019,2,0,5073642
158,Otherhood,2019,3,0,4180560
159,7500,2019,1,0,6436726
160,Secret Obsession,2019,1,0,9419834
161,HELEN,2019,1,0,10308528
162,Spies in Disguise,2019,3,0,5814534
163,Saand Ki Aankh,2019,3,0,8108206
164,Missing Link,2019,1,0,6348138
165,Murder Mystery,2019,1,1,1618434
166,Bit,2019,3,0,8425034
167,Love Live! Sunshine!! The School Idol Movie: Over The Rainbow,2019,3,0,8659948
168,Bombshells and Dollies,2019,3,0,6065988
169,"Dead Don&#39;t Die, The",2019,3,0,8695030
170,"Report, The",2019,0,0,8236336
171,Furie,2019,3,0,9412268
172,Rocketman,2019,3,1,2066051
173,Under The Silver Lake,2019,0,0,5691670
174,"Vast of Night, The",2019,3,0,6803046
175,Long Shot,2019,3,0,2139881
176,Guns Akimbo,2019,3,0,6902676
177,"Last Full Measure, The",2019,1,0,783640
178,Bad Education,2019,3,0,8206668
179,Vivarium,2019,3,0,8368406
180,Before You Know It,2019,3,0,8856090
181,"Ground Beneath My Feet, The",2019,3,0,7902124
182,"Beach Bum, The",2019,1,0,6511932
183,Une Paire de Jumelles,2019,3,0,9217514
184,"Body Remembers When The World Broke Open, The",2019,3,0,8230872
185,Saint Frances,2019,3,0,9016016
186,Frankie,2019,3,0,8019694
187,La Peor de Mis Bodas 2,2019,3,0,8932338
188,Top End Wedding,2019,3,0,7555072
189,"hockey girls, The",2019,3,0,9486226
190,Ip Man 4: The Finale,2019,3,0,2076298
191,Babyteeth,2019,3,0,8399664
192,Mercy Black,2019,3,0,8758086
193,"Addams Family, The",2019,3,0,1620981
194,"A Dark, Dark Man",2019,1,0,10867768
195,K-12,2019,3,0,10521814
196,Come to Daddy,2019,1,0,8816194
197,"Legend of Hei (Luo Xiao Hei zhan ji), The",2019,0,0,10734928
198,"Yes, God, Yes",2019,3,0,8949056
199,"Kitchen, The",2019,3,0,5822564
200,Wonder Park,2019,3,0,6428676
201,A.M.I.,2019,3,0,8712750
202,A New Christmas,2019,1,0,9201720
203,Richard Jewell,2019,3,0,3513548
204,My Hero Academia: Heroes Rising,2019,3,0,11107074
205,Maria,2019,3,0,7594584
206,47 Meters Down: Uncaged,2019,3,0,7329656
207,Sound of Metal,2019,1,0,5363618
208,"Assistant, The",2019,3,0,9000224
209,"Peanut Butter Falcon, The",2019,1,0,4364194
210,"Personal History of David Copperfield, The",2019,3,0,6439020
211,Good Kisser,2019,3,0,9602378
212,Fahim,2019,1,0,4693588
213,"Final Level: Escaping Rancala, The",2019,3,0,11334312
214,In the Shadow of the Moon,2019,1,0,8110640
215,After the Wedding,2019,3,0,7985692
216,Quebramar,2019,3,0,11621206
217,Saga of Tanya the Evil - The Movie,2019,3,1,9507276
218,Men in Black: International,2019,3,0,2283336
219,How to Train Your Dragon: The Hidden World,2019,3,0,2386490
220,Code 8,2019,1,0,6259380
221,Papicha,2019,3,0,9522080
222,Lucky Grandma,2019,3,0,10011336
223,Pokemon: Mewtwo Strikes Back - Evolution,2019,3,0,8856470
224,A Call to Spy,2019,3,0,7698468
225,Stray,2019,3,0,6294226
226,"Highwaymen, The",2019,1,0,1860242
227,"Souvenir, The",2019,3,0,6920356
228,Performaniax,2019,3,0,8892756
229,Horrible Histories: The Movie - Rotten Romans,2019,3,0,7715070
230,Angel Has Fallen,2019,1,0,6189022
231,Les Parfums,2019,3,0,11748354
232,Carmilla,2019,3,0,7280218
233,Blood Machines,2019,3,1,6197070
234,Katharine Hepburn,2019,3,0,15324860
235,&quot;The Good Place&quot; The Funeral to End All Funerals,2019,3,0,11028798
236,Kim Ji-young: Born 198,2019,3,0,11052808
237,White Snake,2019,3,0,9288776
238,"Cat and the Moon, The",2019,1,0,5360232
239,Marighella,2019,3,0,7825208
240,Bombshell,2019,3,0,6394270
241,Judy,2019,3,0,7549996
242,Soul,2020,3,0,2948372
243,"Marijuana Conspiracy , The",2020,3,0,8461042
244,Like a Boss,2020,3,0,7545266
245,Honey Boy,2020,0,0,8151874
246,"Rhythm Section, The",2020,2,0,7134096
247,"Turning, The",2020,3,0,7510346
248,Birds of Prey,2020,3,0,7713068
249,Platzspitzbaby,2020,3,0,9737798
250,Horse Girl,2020,3,0,11388406
251,Sonic the Hedgehog,2020,3,0,3794354
252,Minari,2020,3,0,10633456
253,Living Aims,2020,2,0,10752062
254,"Veil, The",2020,3,0,11895476
255,Onward,2020,3,0,7146812
256,All the Bright Places,2020,3,0,3907584
257,Lost Girls,2020,3,0,3111426
258,Zombies 2,2020,3,0,9766166
259,"Invisible Man, The",2020,3,0,1051906
260,Emma.,2020,3,0,9214832
261,Bad Boys For Life,2020,2,0,1502397
262,Blow the Man Down,2020,3,0,8299768
263,Stargirl,2020,3,0,4858674
264,Trolls World Tour,2020,3,0,6587640
265,My Spy,2020,3,0,8242084
266,Extraction,2020,3,0,8936646
267,"Half of It, The",2020,3,0,9683478
268,"Methodists, The",2020,3,0,12261880
269,18 Presents,2020,3,0,10816484
270,Scoob,2020,3,0,3152592
271,Shirley,2020,3,0,8430598
272,"last days of american crime, The",2020,0,0,1552211
273,"High Note, The",2020,3,0,9308382
274,"Hunt, The",2020,3,0,8244784
275,Never Rarely Sometimes Always,2020,3,0,7772582
276,Palm Springs,2020,3,0,9484998
277,"Old Guard, The",2020,3,0,7556122
278,Greyhound,2020,0,0,6048922
279,Tout simplement noir,2020,1,0,10426916
280,Artemis Fowl,2020,3,0,3089630
281,Legacy of Lies,2020,3,0,6834916
282,Hamilton,2020,3,0,8503618
283,Underwater,2020,3,0,5774060
284,Work It,2020,3,0,10276470
285,Tenet,2020,1,0,6723592
286,Bill &amp; Ted Face the Music,2020,3,0,1086064
287,Mulan,2020,3,0,4566758
288,Wolfwalkers,2020,3,1,5198068
289,Phineas and Ferb the Movie: Candace Against the Universe,2020,3,0,1817232
290,Sputnik,2020,0,0,11905962
291,Enola Holmes,2020,3,0,7846844
292,"New Mutants, The",2020,3,0,4682266
293,"King of Staten Island, The",2020,3,0,9686708
294,Unhinged,2020,3,0,10059518
295,Eurovision Song Contest: The Story of Fire Saga,2020,3,1,8580274
296,Druk,2020,1,0,10288566
297,Summerland,2020,1,0,6841122
298,"Trial of the Chicago 7, The",2020,1,0,1070874
299,Bad Hair,2020,3,0,4798836
300,Scare Me,2020,1,0,10126434
301,Over the Moon,2020,3,0,7488208
302,"Stunt Double, The",2020,1,0,12841698
303,"Call, The",2020,3,0,10530176
304,Freaky,2020,3,0,10919380
305,Jiu Jitsu,2020,1,0,9624766
306,Ludo,2020,3,1,7212754
307,"Witches, The",2020,2,1,805647
308,Santana,2020,1,0,11769162
309,Godmothered,2020,3,0,11681250
310,Mariah Carey&#39;s Magical Christmas Special,2020,3,0,13017992
311,Fantasy Island,2020,3,0,983946
312,Host,2020,3,0,12749596
313,Relic,2020,3,0,9072352
314,"Prom, The",2020,3,0,10161886
315,Happiest Season,2020,3,0,8522006
316,Gretel &amp; Hansel,2020,3,0,9086228
317,"Croods: A New Age, The",2020,3,0,2850386
318,"Midnight Sky, The",2020,3,0,10539608
319,Wonder Woman 1984,2020,3,0,7126948
320,Borat Subsequent Moviefilm,2020,3,1,13143964
321,Superintelligence,2020,3,0,7178640
322,Herself,2020,3,0,9902160
323,News of the World,2020,3,0,6878306
324,Run Hide Fight,2020,3,0,11456054
325,Pieces of a Woman,2020,3,0,11161474
326,I&#39;m Your Woman,2020,3,0,10243992
327,Unpregnant,2020,3,0,10556022
328,Cadaver,2020,3,0,11284280
329,Train to Busan Presents: Peninsula,2020,3,0,8850222
330,Mank,2020,1,0,10618286
331,Breach,2020,1,0,9820556
332,Run,2020,3,1,8633478
333,Ma Rainey&#39;s Black Bottom,2020,3,0,10514222
334,Nomadland,2020,3,0,9770150
335,Promising Young Woman,2020,3,1,9620292
336,Ammonite,2020,3,0,7983894
337,I Care a Lot,2020,3,1,9893250
338,"Lost Husband, The",2020,3,0,4257940
339,Infamous,2020,3,0,7703924
340,Monster Hunter,2020,3,0,6475714
341,Penguin Bloom,2020,3,0,6317656
342,Deep Blue Sea 3,2020,1,0,11946300
343,"Courier, The",2020,3,1,8368512
344,Malmkrog,2020,3,0,10213380
345,Slaxx,2020,3,0,9741310
346,How to Be a Good Wife,2020,3,0,10441958
347,Love and Monsters,2020,2,0,2222042
348,From Stress to Happiness,2020,1,0,13079086
349,Misbehaviour,2020,3,1,9148706
350,Summer of 85,2020,1,0,10457128
351,"Retreat, The",2020,0,0,12198524
352,Breath,2020,0,0,11771622
353,Shadow in the Cloud,2020,0,0,9691136
354,Holidate,2020,3,0,9866072
355,My Salinger Year,2020,3,0,2222052
356,Friend of the World,2020,3,0,6074542
357,one night in san diego,2020,2,0,9765226
358,One Night in Miami...,2020,2,0,10612922
359,Normal People,2020,3,1,9059760
360,A Quiet Place Part II,2020,3,1,8332922
361,To All the Boys: P.S. I Still Love You,2020,3,0,9354842
362,Mainstream,2020,3,0,9224288
363,"Evil Next Door, The",2020,3,1,11320192
364,Motherland: Fort Salem,2020,3,0,9900092
365,An American Pickle,2020,1,0,9059704
366,You Will Never Be Back,2020,3,0,13266132
367,Iskioma,2020,0,0,13152234
368,Jiang Ziya: Legend of Deification,2020,2,0,11177804
369,Geenland,2020,3,0,7737786
370,"Craft: Legacy, The",2020,3,0,4685762
371,"world to come, The",2020,3,0,9738716
372,I&#39;m Thinking of Ending Things,2020,0,1,7939766
373,Dolittle,2020,3,0,6673612
374,Save Yourselves!,2020,3,1,7873348
375,Demon Slayer: Mugen Train,2020,0,1,11032374
376,"Tomorrow War, The",2021,2,0,9777666
377,Finding &#39;Ohana,2021,3,0,10332588
378,"Dry, The",2021,3,1,5144174
379,High Ground,2021,2,1,9286908
380,Raya and the Last Dragon,2021,3,0,5109280
381,Sweetheart,2021,3,0,10919362
382,Judas and The Black Messiah,2021,2,0,9784798
383,Coming 2 America,2021,3,0,6802400
384,Moxie,2021,3,0,6432466
385,Cherry,2021,0,0,9130508
386,Sentinelle,2021,3,0,11734264
387,Zack Snyder&#39;s Justice League,2021,3,0,12361974
388,"United States vs. Billie Holiday, The",2021,3,0,8521718
389,Willy&#39;s Wonderland,2021,3,0,8114980
390,"Mauritanian, The",2021,3,1,4761112
391,Nobody,2021,1,0,7888964
392,Thunder Force,2021,3,0,10121392
393,Cousins,2021,3,0,10483044
394,Ajeeb Daastaans,2021,3,0,14091818
395,Stowaway,2021,3,0,9203694
396,Mortal Kombat,2021,2,0,293429
397,Barb and Star Go to Vista Del Mar,2021,3,0,3797512
398,"Mitchells vs the Machines, The",2021,3,0,7979580
399,Us Again,2021,0,0,14062858
400,Radhe,2021,0,0,10888594
401,Oxygen,2021,3,0,6341832
402,Without Remorse,2021,1,0,499097
403,Black Widow,2021,3,0,3480822
404,Inside,2021,0,0,14544192
405,Cruella,2021,3,0,3228774
406,"Kissing Booth 3, The",2021,3,0,12783454
407,Malignant,2021,3,0,3811906
408,"Eyes of Tammy Faye, The",2021,3,0,9115530
409,Spiral: From the Book of Saw,2021,3,0,10342730
410,Afterlife of the Party,2021,3,0,11742798
411,Escape Room: Tournament of Champions,2021,3,0,9844522
412,In the Heights,2021,3,0,1321510
413,Shang-Chi and the legend of the ten rings,2021,3,1,9376612
414,Cinderella,2021,3,1,10155932
415,America: The Motion Picture,2021,3,1,6733874
416,Fatherhood,2021,3,0,4733624
417,"Conjuring: The Devil Made Me Do It, The",2021,1,0,7069210
418,F9 - The Fast Saga,2021,3,0,5433138
419,Fear Street: Part One - 1994,2021,3,0,6566576
420,Luca,2021,1,1,12801262
421,Fear Street: Part Two - 1978,2021,3,0,9701940
422,Plan B,2021,3,0,13172796
423,To All the Boys: Always and Forever,2021,3,0,10676012
424,Space Jam: A New Legacy,2021,3,0,3554046
425,Sweet Girl,2021,3,0,10731768
426,Old,2021,3,0,10954652
427,"Hitman&#39;s Wife&#39;s Bodyguard, The",2021,0,0,8385148
428,Jungle Cruise,2021,3,1,870154
429,Gunpowder Milkshake,2021,3,0,8368408
430,Pig,2021,0,0,11003218
431,Secret Agent Dingledorf and His Trusty Dog Splat,2021,1,0,10355058
432,Those Who Wish Me Dead,2021,1,0,3215824
433,"Suicide Squad, The",2021,3,0,6334354
434,Fear Street: Part Three - 1666,2021,3,0,9701942
435,Titane,2021,2,0,10944760
436,"Marksman, The",2021,2,0,6902332
437,Free Guy,2021,1,0,6264654
438,Drive My Car,2021,3,0,14039582
439,"Green Knight, The",2021,1,0,9243804
440,Good on Paper,2021,3,0,8231668
441,Reminiscence,2021,2,0,3272066
442,Madame Claude,2021,3,0,10307724
443,Army of the Dead,2021,3,0,993840
444,"Influencer, The",2021,3,0,10868922
445,No Sudden Move,2021,3,0,11525644
446,"Little Things, The",2021,3,0,10016180
447,"La Luna, Tomasico y mi abuela",2021,0,0,14156262
448,Dune,2021,3,0,1160419
449,#Nofilter,2021,0,0,14843560
450,CODA,2021,3,0,10366460
451,No Time To Die,2021,2,1,2382320
452,"Many Saints of Newark, The",2021,2,0,8110232
453,"Guilty, The",2021,1,0,9421570
454,Spider-Man: No Way Home,2021,3,1,10872600
455,Till Death,2021,0,0,11804152
456,"Last Duel, The",2021,3,1,4244994
457,"Harder They Fall, The",2021,3,0,10696784
458,Passing,2021,3,0,8893974
459,Venom Let there be Carnage,2021,2,0,7097896
460,Night Teeth,2021,2,0,10763820
461,Borga,2021,3,0,5492808
462,Eternals,2021,3,0,9032400
463,Respect,2021,3,0,2452150
464,Last Night in Soho,2021,3,0,9639470
465,"French Dispatch, The",2021,3,0,8847712
466,"Lost Daughter, The",2021,3,0,9100054
467,Eye of the Beholder,2021,3,0,15526040
468,Red Notice,2021,1,0,7991608
469,Petite Maman,2021,3,0,13204490
470,"Beatles: Get Back, The",2021,3,1,9735318
471,There&#39;s Someone Inside Your House,2021,3,0,8150814
472,"Retreat, The",2021,3,0,11392272
473,Encanto,2021,3,0,2953050
474,Love Hard,2021,2,0,10752004
475,West Side Story,2021,3,0,3581652
476,Every Time a Bell Rings,2021,3,0,15943414
477,Single All The Way,2021,3,0,14315756
478,"Matrix Resurrections, The",2021,3,0,10838180
479,Don&#146;t Look Up,2021,3,0,11286314
480,Kate,2021,2,1,7737528
481,A Classic Horror Story,2021,3,1,12877640
482,"Tender Bar, The",2021,1,0,3108894
483,Licorice Pizza,2021,3,0,11271038
484,Nightmare Alley,2021,1,0,7740496
485,13 Minutes,2021,3,0,9274670
486,tick...tick..BOOM!,2021,3,1,8721424
487,The Worst Person in the World,2021,3,1,10370710
488,Being The Ricardos,2021,3,0,4995540
489,Boiling Point,2021,3,0,11127680
490,"Power of the Dog, The",2021,0,0,10293406
491,Mass,2021,3,0,11389748
